axe_id,task_id,collection,comments,date-rec,find-date,find-place,labels,material,ngr,number,condition,areablad,areablal,areablar,areabody,areapoll,blacon,bladang,blaedwid,blaleng,blasin,blathick,blawid,bothick,corbaby,corbapl,corfroby,corfropl,edcon,edsin,gribabl,gribaby,gribapl,grifrobl,grifroby,grifropl,grinside,gripoled,lefedwid,lefthick,lengmaxt,lengmaxw,longside,lonpoled,maxleng,maxthick,maxwid,polbabl,polbaby,polbapl,poledwid,poleng,polfrobl,polfroby,polfropl,polthick,polwid,rebabl,rebaby,rebapl,refrobl,refroby,refropl,ritedwid,rithick,topthick,weight
10032,96189,Devizes Museum ,"blade edge exceptionally fresh: looks rather as if it has been, loved, never used ",17.11.97,"","East Grafton, Wilts ","Grafton
Grafton
74.1967
870",Flint,250604,10032,complete,5,5,5,54,0.5,0,80,0,21,1,19,66,17,0,0,0,0,0,3,9.75,65.5,0.5,9.75,62,0,165,20,2.5,24,50,31,165,20,191,33,68,9.75,10,0,2,4,8.5,7,0,6,19,,,,,,,3,26,16,420
10033,96190,Devizes Museum,"1. Devizes Catalogue II, Cummington & Goddard, 1911: no. 16 (p.6), 
Plate III. 2        VCH WILTS I, i , gives NGR  283803 (p.37).",17.11.77,1859,"Near Baydon, Botley Wilts ","31 - Flint Celt, cutting edge oblique.
Found near the Romano-British Station, Baydon, May 1859
N.         Baydon
31         Botley                 882",Flint,283803,10035,complete,12.5,5.5,7,62.5,2.5,0,80,0,26,1,24,61,18,0,0,0,0,0,2,12,50,2,12,49.5,1.75,120,0,9,25,71,26,120,50,150,35,61,12,9,0,0.5,11,12,11,0,13,39,,,,,,,5,30,18,380
10034,96191,Devizes Museum ,1. poll edge may be damaged ,5.7.78,"","","Urchfont Devon
1023
Urchfont
Down 90.
Urchfont
Down
DM 1481",Flint,Su 0455,10034,complete,,,,,,24,,,,,,,,0,0,0,0,,,,,,,,,105,,85,,,,105,,,,,,,,0.5,2,,,,,13,,,,,,,,,,150
10035,96192,Devizes Museum,1. GRINSIDE left = 40; LONGSIDE left= 115,18.11.79,"","Burbage, Wilts","4.810
Burbage
4.810
B.C
Burbage
DM 1869
883",flint,Su 3361,10035,complete,8,4.25,3.75,61.5,0.5,0,85,0,18,0,22,57,18,0,0.25,0,0,0,12,6.25,15.5,0,7.5,26.5,0,15,0,0,29,61,49,100,25,138,36,60,0,0,0,0,4,0,0,0,13,28,,,,,,,1.5,25,17,330
10036,96193,"","","","","","",Flint,Su 108587,10036,complete,,,,,,0,80,0,13,1,17,61,15,0,0,0,0,0,5,6.25,23,0,5.25,18,0,,0,6,29,64,41,,30,84,34,62,0,0,0,13,5,0,0,0,22,36,,,,,,,4,22,16,215
10037,96194,"","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10038,96195,Devizes Museum ,"",18.11.77,Flint,Wilcot,"WILCOT
DM 1479",Su 1460,1460,10038,"",10,5,5,55,0.25,2,0,5,21,3,21,63,15,10,0,4.5,0.25,0,1,41,0.25,8.75,41,0.25,50,110,15,,25,71,25,110,15,130,32,63,0,0,0,300,2,0,0,9.5,10,20,,,,,,,4,23,16,
10039,96196,Sailsbury Museum,1. drilled,8.11.77,1906,"Grovely Wood, Barford, St. Martin, Wilts ","GROVELY
1905
1031
760",Flint,Su 0534,10039,complete,6.5,3.25,3.25,80.5,2.5,0,85,0,12,2,14,65,21,0,0,0,0,0,1,6.5,66,0.25,6.5,66,0.25,145,5,6,28,72,12,145,40,166,36,65,0,0,0,0,9,0,0,0,13,37,,,,,,,7,32,16,465
10040,96197,Salisbury Museum,"GRINSIDE left= (50), LONGSIDE left=75
May be a reworked celt, rather than complete
2. drilled ",8.11.77,"","","BELOW OLD 
SARUM
1029a
793",Flint,Su 1332,10040,complete,4.75,2.25,2.5,32,4,0,80,0,12,2,15,53,14,0,0,0,0,0,4,4.75,14,0.5,3.5,9.5,0.75,0,0,0.5,21,46,20,65,45,88,29,55,0,0,0,21,14,0,0,0,24,44,,,,,,,8,25,15,170
10041,96198,"","1.drawn in Salisbury Museum 
2. Poll edge=patinstead scar",8.11.77,"",Aluediston,[none],Flint,Su 975215,10041,complete,12.75,6.25,6.5,53.5,0.25,0,75,0,26,1,24,61,15,0,0,0,0,0,2,11.75,30.5,0.25,12.75,30.5,0.25,125,0,2.5,26,65,26,125,20,139,31,61,0,0,0,8,2,11.25,7,0,10,25,,,,,,,3,23,16,285
10043,96199,Devizes Museum,"1. GRINSIDE left= 50. LONGSIDE left=105.
2. Highly patinated",16.11.77,"",Wilts,"ANSBURY
13624245
72.1976.1",Flint,Su 136425,10043,complete,4.25,2.25,2,73,0.5,0,90,0,12,1,17,48,18,0.5,0,0.5,0,0,7,150,1.5,0,1,1,0,25,0,2,27,75,46,120,30,152,35,59,0,0,0,0,3,0,0,0,11,30,,,,,,,2,25,20,365
10044,96200,Devizes Museum,"1. EDCON, EDSIN, GRINSIDE, LONGSIDE all for left side. For right side, these = 0, 16, 0, 110 respectively.
2. highly patinated.",16.11.77,"",Amesbury,"13354218
74.1976.1",flint,SU 134422,10044,fragment,2.25,1.25,1.25,38.5,1.25,,,,10,,13,34,22,0,0,0,0,2,9,1.75,1,0,1.75,3.5,0.25,100,0,3,20,54,39,110,10,132,34,42,0,0,0,0,11,0,0,0,12,21,0,0,0,0,0,0,0,30,12,145
10045,96201,Devizes Museum,1. f. Easton Down roughouts [...],16.11.77,"",Avebury parish,"Avebury 77 B.C AVEBURY
DM. 1863",flint,SU 10 69,10045,complete,3.25,1.5,1.75,40,0.5,0,75,0,11,1,11,45,11,1,0,15,0.25,0,8,0.5,0.5,0,1.75,2,0,15,0,1,15,41,37,90,15,110,18,49,0,0,0,0,4,0,0,0,9,19,0,0,0,0,0,0,1,16,8,115
10046,96202,Devizes Museum,"1. It's possible that the poll has been reworked or damaged, but there's no certain evidence for this.",16.11.77,"","Avebury parish, Witts","Avebury 8.5.'11.
B.C. Avebury 8.5.11
DM. 1856",flint,SU 1069,10046,complete,1.75,0.75,1,22,1,0,80,0.25,8,1,11,34,8,0,0,0,0,0,2,1.75,4.5,0,1.75,14.5,0,40,0,1.5,13,30,24,65,25,74,16,39,0,0,0,7,5,0,0,0,11,29,0,0,0,0,0,0,1,12,9,55
10047,96203,Devizes Museum,"1. heavily patinated
2. blade edge crusted - heavily step-flaked - suggesting use.",16.11.77.,"",Amesbury,Amesbury 13524249 72.1976.2,flint,SU 135 425,10047,complete,3,1.5,1.5,69,2,0,85,0,10,5,19,46,16,0,0,0,0,0,9,0.25,0.5,0,0,2,0,0,0,0,31,96,60,130,20,151,35,60,0,0,0,0,9,0,0,0,13,31,0,0,0,0,0,0,0,23,20,295
10048,96204,Salisbury Museum,"",11.11.77,1865,"Clarendon PK, Wilts","Clarendon April 1865 1003 CLARENDON 1865
J.B. 746",flint,SU 1830,10048,complete,6.25,3,3.25,52.5,0.75,0,85,0,16,0,19,57,16,0,0,0,0,0,1,6.25,51.5,0.5,6,46.5,0.75,100,25,5.5,26,48,26,100,25,125,32,59,0,0,0,0.5,4,0,0,0,7,25,0,0,0,0,0,0,3,25,16,240
10049,96205,Salisbury Museum,"",10.11.77,"","Appleshaw, Hants.","[...]pleshaw - Hants 1877 APPLESHAW HANTS 1877 13/49
750",flint,SU 3048,10049,complete,7.25,3.25,4,55,1.5,0,80,0,17,0,19,56,15,0,0,0,0,0,2,7,38,0.75,7.25,43.5,0.5,110,25,3.5,19,59,26,110,30,134,29,57,0,0,0,1,6,0,0,0,11,32,0,0,0,0,0,0,3,21,14,250
10050,96206,Salisbury Museum,1.GRINSIDE left = 25; LONGSIDE left = 85,10.11.77,"","Donhead area [...], Witts","DONHEAD 773
2/1911 c",flint,ST 9124,10050,complete,8.75,4.2,4.5,40,1,2,85,0,18,0,21,65,14,0,0,0,0,0,2,8.5,11.5,0,8.75,5.5,0,75,0,3,25,64,18,75,25,99,29,65,0,0,0,17,5,0,0,0,24,32,0,0,0,0,0,0,4.5,26,16,210
10051,96207,Salisbury Museum,"1. the peculiar curve of this piece is probably the result of a flaking accident, rather than deliberate shaping. The very small amount of grinding (the blade edge is nowhere ground) suggests this to be an unfinished [...] celt.

2. Found when laying drain pipes",10.11.77,"","The Crown Inn, Netton","1057   790
99.1936
NETTON",flint,SU 1336,10051,complete,4,2,2,41,1,2,75,0,14,0,14,38,13,1,0,0,0,5,4,0.25,0,0,0.5,0,0,0,0,0,15,56,4,100,20,124,21,43,0,0,0,0,5,0,0,0,7,25,0,0,0,0,0,0,0,15,8,115
10052,96208,Salisbury Museum,"",10.11.77,1871,Hamptworth,"HAMPTWORTH
755
1871
1028",flint,SU 2419,10052,complete,7.75,4,3.75,30.5,0.5,0,80,0,19,5,21,52,19,0,0,0,0,0,8,7.75,2.5,0,7.5,3,0,0,0,0,21,53,25,75,20,94,34,52,0,0.5,0,0,3,0,0.5,0,6,21,0,0,0,0,0,0,1,24,15,140
10053,96209,Salisbury Museum,1.The register description does not fit this piece - 'cutting edge broken off - straight - old fracture.',10.11.77,"","","NETTON 1018  
759",flint,SU 1336,10053,complete,9.5,4.5,5,40.5,2.5,0,80,0,23,1,20,53,15,0,0,0,0,0,0,9.5,23,0.25,9.5,28.5,0.5,90,0,4,23,63,30,90,25,123,31,55,2,1,0,0.5,11,1,3.5,0,13,31,0,0,0,0,0,0,3,25,16,215
10054,96210,Salisbury Museum,"1. On both side edges, grinding is at butt end.
2. There is a definite facet at the blade edge",10.11.77,"",Clarendon Park on the site of the Palace Witts,"71/61
796",flint,SU 182301,10054,complete,4,2,2,48,0.25,0,80,0.5,12,1,15,44,13,0,0,0,0,0,11,3.5,1,0,3.5,1.5,0,30,0,1,14,57,38,100,20,125,25,44,0,0,0,0,3,0,0,0,6,15,0,0,0,0,0,0,1,18,12,155
10055,96211,Salisbury Museum,1. GRINSIDE left = 20; LONGSIDE left = 35.,10.11.77,"","","10/1966
DANEBURY
782",flint,SU 3237,10055,complete,4.5,2.25,2.25,22,1.5,0,80,1,12,1,14,50,9,0,0,0,0,0,3,4.5,3.5,0.25,4,7,0,0,20,3,17,37,33,40,35,63,21,51,0,0,0,0.5,5,0,0,0,9,37,0,0,0,0,0,0,0.5,16,13,80
10056,96212,"","","",1926,"","",flint,SU 0229,10056,complete,,,,,,,85,0,,,,,,,,,,,,7,51.5,0.5,7,51,0.5,,,5,,,,,,,,,,,,0,,,,,,,,,,,,,5,,,365
10058,96213,Salisbury Museum,"",11.11.77,1884,"Redbridge, [...] Ma","Redbridge, Hants
2004
12-8-84.
REDBRIDGE
747",flint,SU 3713,10058,complete,5.5,2.75,2.75,45.5,0.25,0,90,0,15,2,20,52,16,0,0,0,0,0,0,5.5,45.5,0.25,5.5,45,0.2,95,20,2.5,27,56,30,95,20,117,32,54,5.5,18,0.25,8,2,1,8.5,0,11,19,0,0,0,0,0,0,2.5,27,15,260
10059,96214,Salisbury Museum,"",11.11.77,1967,[...] Wilts,"78/1967
STRATFORD
TONY
822",flint,ST 093277,10059,complete,5.5,2.75,2.75,59,2,0,70,0,12,0,14,60,14,0,0,0,0,0,2,5.5,46.5,0.5,5.5,50.5,0.5,120,5,0.5,23,56,12,120,40,140,29,60,0,0,0,0,9,0,0,0,13,32,0,0,0,0,0,0,2,25,16,265
10060,96215,Salisbury Museum,"1. Poll edge is a clearly defined ground facet.
2. Part of hoard: PPS 3, 1937, p.158, Fig C (back face, left side)",11.11.77,"","East Knoyle, Wilts.","68.36
2-
East Knoyle, Wilts.
9/1968
817",flint,ST 871309,10060,complete,10,5,5,57.5,1.75,0,90,0,19,1,23,66,17,0,0,0,0,0,2,9.5,55.5,1.75,10,52,1.75,110,30,8,28,54,19,110,30,123,33,66,0,0,0,3,7,0,0,0,12,33,0,0,0,0,0,0,8,29,17,340
10061,96216,Salisbury Museum,"1. GRINSIDE left = 30; LONGSIDE left = 110.
2. Part of hoard: PPS 3, 1937, p. 158, Fig. b (side view shows right edge).",11.11.77,"","East Knoyle, Wilts.","68.36
3-
East Knoyle, Wilts.
9/1968
816",flint,ST 871309,10061 ,complete,4,2,2,41,0.25,0,75,0,14,0,15,42,12,0,0,3,0,3,7,4,11.5,0,4,12.5,0,0,0,1,15,53,14,115,10,131,23,42,0,1,0,0.5,3,0,1,0,7,12,0,0,0,0,0,0,0.5,18,11,135
10062,96217,Truro museum,"",7.10.77,1928,"","Found 1928
In field named Long Vugha
St EVAL
51/54",flint,SW 8769,10062,complete,7.25,3,4.25,35,1,0,80,0,21,0,19,55,4,0,0,0,0,0,0,7,32,0.5,7.25,28.5,0,90,0,5,22,45,21,90,25,102,27,55,7,10,0,0,6,7.25,7,0,9,28,0,2,0.5,0,4.5,1,6,23,14,175
10063,96218,Truro museum,"",7.10.77,"","Treleigh farm, Rumford, St. Ervan","Treleigh Fm
Rumford
Wilts
1969 [...]Mro LACE",flint,SW 9071 ,10063,complete,15,9,6,44.5,1,0,80,0,29,2,30,65,17,0,0,0,0,0,0,14.5,38,,14.5,33,0.75,85,0,8.5,29,46,29,90,25,117,36,65,13.5,4,0,10,6,13.5,1.5,0,17,29,0,0,0,0,0,0,6.5,28,19,315
10064,96219,RIC Truro,"1. [...] celt has marked twist, resulting in poll edge + blade edge being c. 8° to each other, rather than parallel
2. grinding on right side edge extends uninterrupted from blade upwards; GRINSIDE on left edge (95) extends to poll, with a small break.",15.10.77,"","[...] Lel, Corn","Loft Cabinet top drawer
Chyanghued [...]
Lelant",flint,SW 5437,10064,complete,5.75,2.75,3,47.5,3,0,70,0,13,0,13,59,11,0,0,0,0,0,1,5.75,15,0,5.75,10,0,75,0,1,12,88,13,100,40,124,19,59,5.75,10,0,0,10,5.75,9,0,11,40,0,0,0,0,0,0,1,13,9,155
